forensic_model,threshold,num_images,num_flagged,fpr,passes_15pct,ff_recall
ft_univfd_adv_raw,0.2,400,101,0.2525,False,0.7420
ft_univfd_adv_raw,0.3,400,71,0.1775,False,0.6200
ft_univfd_adv_raw,0.4,400,49,0.1225,True,0.5300
ft_univfd_adv_raw,0.5,400,34,0.0850,True,0.4580
ft_univfd_adv_raw,0.6,400,15,0.0375,True,0.4100
ft_univfd_adv_raw,0.7,400,8,0.0200,True,0.3720
ft_univfd_adv_raw,0.8,400,5,0.0125,True,0.3180
ft_univfd_adv_raw,0.9,400,1,0.0025,True,0.2500
wang2020,0.5,400,297,0.7425,False,0.010
univfd_knn,0.5,400,277,0.6925,False,
univfd_knn,0.6,400,261,0.6525,False,
univfd_knn,0.7,400,238,0.595,False,
univfd_knn,0.8,400,203,0.5075,False,
univfd_knn,0.9,400,156,0.39,False,
ft_univfd_mlp10k_naive,0.5,400,358,0.895,False,0.664
ft_univfd_mlp10k_naive,0.6,400,276,0.69,False,0.652
ft_univfd_mlp10k_naive,0.7,400,146,0.365,False,0.64
ft_univfd_mlp10k_naive,0.8,400,39,0.0975,True,0.608
ft_univfd_mlp10k_naive,0.9,400,1,0.0025,True,0.578
