epsilon,steps,n_images,mean_asr,mean_ssim,mean_psnr,mean_cosine_sim
0.03,40.0,50.0,1.0,0.9083146665189926,34.22625444457186,-0.7717541527748107
0.03,80.0,50.0,1.0,0.907979362113258,34.20238131956815,-0.8255506730079651
0.05,40.0,50.0,1.0,0.8060089994598669,30.2353705604994,-0.8380455565452576
0.05,80.0,50.0,1.0,0.8078318754105623,30.30091137587501,-0.8929022932052613
0.08,40.0,50.0,1.0,0.6538884675130386,26.348660243187982,-0.8706313037872314
0.08,80.0,50.0,1.0,0.659260824979862,26.486343842796945,-0.9237776100635527
0.1,40.0,50.0,1.0,0.569989404314892,24.51192417012766,-0.8771658408641815
0.1,80.0,50.0,1.0,0.5741371497154945,24.621399291671867,-0.9294179368019104
0.12,40.0,50.0,1.0,0.4975318545201556,22.968846203681807,-0.8787939536571503
0.12,80.0,50.0,1.0,0.5025598358018865,23.091322313469867,-0.9327849626541138
